"topic","price_taste","probability"
13,"P3_American..New., P3_Barbeque, P3_Brazilian, P3_Chinese, P3_Dim.Sum",0.0400479462317259
13,"P2_American..New., P2_American..Traditional., P2_Specialty.Food",0.0323423018472142
13,"P3_Italian",0.0310580277831289
13,"P3_Asian.Fusion, P3_Chinese",0.029131616687001
13,"P3_Seafood",0.0263490228814829
14,"P2_American..New., P2_Fruits...Veggies, P2_Italian, P2_Sandwiches, P2_Specialty.Food",0.0462872673706923
14,"P2_American..New., P2_French, P2_Italian, P2_Mexican",0.0276146808025063
14,"P2_American..New.",0.0251250025934148
14,"P2_Creperies, P2_French",0.0203531193593228
14,"P3_American..New., P3_American..Traditional., P3_Seafood",0.019523226622959
14,"P1_Sandwiches",0.019523226622959
14,"P2_Specialty.Food",0.0186933338865952
14,"P3_American..New., P3_French, P3_Greek, P3_Italian, P3_Modern.European, P3_Spanish",0.0178634411502313
15,"P2_American..New., P2_Greek, P2_Latin.American, P2_Pizza, P2_Tapas.Small.Plates",0.0586747911873821
15,"P2_American..New., P2_Asian.Fusion, P2_Chinese, P2_Pan.Asian, P2_Tapas.Small.Plates, P2_Thai",0.0423013948475616
15,"P2_American..New., P2_Italian, P2_Modern.European, P2_Pizza, P2_Sandwiches, P2_Specialty.Food",0.0396070384878443
15,"P2_Italian, P2_Pizza",0.0381562312172273
15,"P2_American..New., P2_Modern.European, P2_Specialty.Food",0.03546187485751
15,"P2_American..New.",0.0300731621380754
15,"P2_Italian, P2_Pizza",0.0292441294120085
15,"P2_Japanese, P2_Sushi.Bars",0.0288296130489751
16,"P3_American..New.",0.0437052691399243
16,"P3_French",0.0344705109307571
16,"P3_French, P3_Specialty.Food",0.0318066383704204
16,"P3_Seafood",0.0309186808503081
16,"P3_American..New.",0.0305634978422632
16,"P4_American..New., P4_French",0.0271892592658367
16,"P3_American..New., P3_Seafood",0.0245253867055
16,"P4_Cuban, P4_Italian",0.0238150206894102
17,"P2_American..New., P2_American..Traditional.",0.0546074348961143
17,"P2_American..New.",0.046193013873007
17,"P2_American..Traditional., P2_Irish",0.0453299963321755
17,"P2_American..Traditional., P2_Burgers, P2_Sandwiches",0.0410149086280179
17,"P2_Italian, P2_Pizza",0.0341107683013657
17,"P2_American..New., P2_Sandwiches",0.0269908735895057
