"topic","price_taste","Probability","taste","price_level"
8,"P2_American..Traditional., P2_Burgers, P2_Irish",0.0200405693171393,"American..Traditional., Burgers, Irish","2"
8,"P2_Mexican, P2_Tex.Mex",0.0184413638697405,"Mexican, Tex.Mex","2"
8,"P2_Specialty.Food",0.0167579897145839,"Specialty.Food","2"
8,"P2_American..New., P2_Sandwiches",0.0154112903904586,"American..New., Sandwiches","2"
8,"P2_Mexican",0.0154112903904586,"Mexican","2"
9,"P2_American..New., P2_American..Traditional.",0.0377508162225803,"American..New., American..Traditional.","2"
9,"P2_American..New., P2_Sandwiches",0.0257266677243464,"American..New., Sandwiches","2"
9,"P2_Sandwiches",0.0218856202874105,"Sandwiches","2"
9,"P2_American..New., P2_American..Traditional., P2_Sandwiches",0.0216351171936973,"American..New., American..Traditional., Sandwiches","2"
9,"P1_Mexican",0.0191300862565653,"Mexican","1"
9,"P2_American..Traditional.",0.0184620780066634,"American..Traditional.","2"
9,"P2_Barbeque",0.0157065439758181,"Barbeque","2"
9,"P2_Creperies, P2_French",0.0149550346946785,"Creperies, French","2"
10,"P2_Cheesesteaks, P2_Sandwiches",0.0451576017958786,"Cheesesteaks, Sandwiches","2"
10,"P2_Italian, P2_Pizza",0.0290148731702806,"Italian, Pizza","2"
10,"P2_Burgers, P2_Hot.Dogs",0.0199345883183817,"Burgers, Hot.Dogs","2"
10,"P2_Italian, P2_Pizza, P2_Salad, P2_Sandwiches",0.0193460513372401,"Italian, Pizza, Salad, Sandwiches","2"
10,"P2_American..New., P2_American..Traditional., P2_Pizza, P2_Sushi.Bars",0.0192619746256484,"American..New., American..Traditional., Pizza, Sushi.Bars","2"
10,"P2_American..New., P2_American..Traditional., P2_Tapas.Small.Plates",0.0168237499894904,"American..New., American..Traditional., Tapas.Small.Plates","2"
10,"P2_American..New., P2_Comfort.Food",0.0167396732778988,"American..New., Comfort.Food","2"
10,"P2_Chinese",0.014974062334474,"Chinese","2"
11,"P2_Burgers",0.0372935398434888,"Burgers","2"
11,"P1_Comfort.Food, P1_Kosher, P1_Middle.Eastern",0.0276080192681861,"Comfort.Food, Kosher, Middle.Eastern","1"
11,"P2_Specialty.Food",0.0255509175530775,"Specialty.Food","2"
11,"P2_American..Traditional., P2_Burgers, P2_Fast.Food, P2_Hot.Dogs",0.0227224026948033,"American..Traditional., Burgers, Fast.Food, Hot.Dogs","2"
11,"P2_Mexican, P2_Tex.Mex",0.0197224626936033,"Mexican, Tex.Mex","2"
11,"P2_American..New., P2_Fruits...Veggies, P2_Italian, P2_Sandwiches, P2_Specialty.Food",0.0189510495504376,"American..New., Fruits...Veggies, Italian, Sandwiches, Specialty.Food","2"
11,"P2_Japanese, P2_Sushi.Bars",0.0162082472636262,"Japanese, Sushi.Bars","2"
11,"P2_Japanese, P2_Ramen",0.0160368221207004,"Japanese, Ramen","2"
12,"P2_Mexican",0.0290380677472677,"Mexican","2"
12,"P2_American..New., P2_Burgers",0.0258308045296425,"American..New., Burgers","2"
12,"P2_Spanish",0.0251729043824374,"Spanish","2"
12,"P2_Belgian",0.0241860541616296,"Belgian","2"
12,"P3_American..New., P3_French, P3_Greek, P3_Italian, P3_Modern.European, P3_Spanish",0.0227880163488187,"American..New., French, Greek, Italian, Modern.European, Spanish","3"
12,"P2_American..Traditional., P2_Southern",0.0212255034992064,"American..Traditional., Southern","2"
12,"P2_American..Traditional., P2_Burgers, P2_Salad",0.0179360027631806,"American..Traditional., Burgers, Salad","2"
